ID,LAT,LON,AZI,TYPE,DEPTH,QUALITY,REGIME
wsm06728,-30.666,115.492,110,BO,2.41,B,U
wsm06729,-30.701,115.472,113,BO,3.51,B,U
wsm06730,-29.883,115.151,171,BO,1.76,D,U
wsm06731,-29.237,115.016,142,BO,1.17,D,U
wsm06732,-30.248,115.415,96,BO,2.88,B,U
wsm06733,-29.714,115.185,15,BO,2.81,B,U
wsm06734,-37.313,139.617,114,BO,2.04,D,U
wsm06735,-38.349,140.873,121,BO,1.92,E,U
wsm06736,-37.409,140.872,130,BO,2.39,D,U
wsm06737,-37.563,140.234,147,BO,2.26,C,U
wsm06738,-37.432,140.762,143,BO,2.14,D,U
wsm06739,-37.450,140.615,147,BO,1.31,D,U
wsm06740,-37.442,140.830,140,BO,2.47,C,U
wsm06741,-28.038,140.001,99,DIF,1.32,D,U
wsm06742,-27.563,140.651,102,DIF,2.08,C,U
wsm06743,-28.026,140.781,102,DIF,1.85,B,U
wsm06744,-28.018,140.256,104,DIF,2.75,B,U
wsm06745,-27.839,140.577,97,DIF,2.82,B,SS
wsm06746,-28.035,139.992,104,BO,1.89,B,U
wsm06888,-9.790,112.960,165,FMS,29.90,C,NF
wsm06901,-9.250,150.390,101,FMS,15.00,C,NF
wsm07540,-11.060,117.890,35,FMS,35.00,C,NF
wsm07620,-44.530,118.130,151,FMS,15.00,C,NF
wsm07730,-9.200,124.980,16,FMS,25.20,C,NF
wsm07837,-35.419,134.824,126,BO,2.51,E,U
wsm07838,-35.604,135.817,130,BO,2.56,D,U
wsm07839,-35.591,135.350,99,BO,2.59,C,U
wsm07840,-33.494,133.885,145,BO,1.85,B,U
wsm07841,-35.845,135.687,147,BO,2.59,C,U
wsm07842,-35.479,134.930,133,BO,4.28,C,U
wsm07843,-15.083,133.996,17,HFM,0.30,B,SS
wsm07844,-15.028,133.753,30,HFM,0.37,A,SS
wsm07929,-14.071,121.815,170,BO,4.10,D,U
wsm07930,-13.758,123.717,11,BO,3.99,B,U
wsm07931,-13.914,123.259,69,BO,4.57,D,U
wsm07932,-15.344,120.637,105,BO,4.78,A,U
wsm07933,-15.314,121.491,146,BO,2.61,B,U
wsm07934,-13.393,122.184,168,BO,3.68,E,U
wsm07935,-13.948,121.976,88,BO,0.00,B,U
wsm07936,-14.075,122.468,50,BO,0.00,C,U
wsm07937,-14.559,123.276,70,BO,0.00,B,U
wsm07952,-28.315,139.920,999,BO,0.00,E,U
wsm07953,-28.125,139.606,999,BO,0.00,E,U
wsm07954,-28.538,140.314,999,BO,0.00,E,U
wsm07955,-28.519,140.380,999,BO,0.00,E,U
wsm07956,-28.009,140.004,999,BO,0.00,E,U
wsm07957,-27.951,140.045,999,BO,0.00,E,U
wsm07958,-28.513,140.376,999,BO,0.00,E,U
wsm07959,-27.543,140.578,121,DIF,2.57,C,U
wsm07960,-28.285,140.040,106,DIF,2.52,D,U
wsm07961,-27.852,140.126,117,BO,2.76,A,U
